# ACTS Test Suite Generation: Tue Nov 09 14:00:55 CET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 9
# Maximum number of values per parameter: 6
# Number of configurations: 52
Tarif,Durchführungsweg,Art der Rückdeckung,Finanzierungsart,Zuzahlung zu Beginn,Beitrag 40b,Beitrag 663,AN Beitrag,AG Beitrag,Erwartetes Ergebnis
AREven,Direktversicherung,keine,AG-finanziert,0,0,0,0,0,Nicht gültig
AREven,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,2000,2000,2000,0,Gültig
AREven,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
FR20,Direktversicherung,keine,AN-finanziert,2000,2000,0,2000,0,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
FR20,Direktzusage,Unterstützungskasse,AG-finanziert,2000,0,0,0,0,Nicht gültig
HR20,Direktversicherung,keine,AN-finanziert,0,2000,2000,0,0,Nicht gültig
HR20,Direktzusage,Rückdeckungskasse,AG-finanziert,0,2000,0,0,2000,Nicht gültig
HR20,Direktzusage,Unterstützungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
PK10,Pensionskasse,keine,AG-finanziert,2000,2000,2000,0,2000,Gültig
RVx,Direktversicherung,keine,AN-finanziert,0,0,2000,2000,0,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AG-finanziert,0,2000,2000,0,0,Nicht gültig
RVx,Direktzusage,Unterstützungskasse,AN-finanziert,2000,0,0,0,0,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,0,0,0,2000,0,Nicht gültig
FR20,Direktversicherung,keine,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
HR20,Direktversicherung,keine,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
RVx,Direktversicherung,keine,AG-finanziert,2000,2000,0,0,2000,Nicht gültig
AREven,Direktzusage,Rückdeckungskasse,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,2000,2000,0,2000,Gültig
HR20,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,0,Nicht gültig
RVx,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
AREven,Direktversicherung,keine,AN-finanziert,2000,2000,0,2000,0,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AN-finanziert,0,2000,0,2000,0,Nicht gültig
HR20,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,0,2000,2000,0,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,2000,0,2000,0,Nicht gültig
AREven,Direktzusage,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
FR20,Direktzusage,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
PK10,Pensionskasse,keine,AG-finanziert,0,2000,0,0,0,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,2000,0,2000,2000,0,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AG-finanziert,0,2000,2000,0,0,Nicht gültig
AREven,Direktzusage,Unterstützungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,2000,2000,2000,0,Gültig
PK10,Pensionskasse,keine,AG-finanziert,2000,0,0,0,2000,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,0,2000,2000,2000,0,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AN-finanziert,0,0,0,0,0,Nicht gültig
HR20,Direktversicherung,keine,AN-finanziert,2000,2000,0,2000,0,Nicht gültig
FR20,Direktversicherung,keine,AN-finanziert,2000,0,2000,2000,0,Nicht gültig
AREven,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,0,2000,0,0,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,2000,0,0,2000,Nicht gültig
AREven,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
AREven,Direktversicherung,keine,AG-finanziert,2000,2000,2000,0,2000,Gültig
PK10,Pensionskasse,keine,AN-finanziert,0,0,0,0,0,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
HR20,Direktversicherung,keine,AN-finanziert,0,2000,0,2000,0,Nicht gültig
FR20,Direktversicherung,keine,AN-finanziert,0,2000,2000,0,0,Nicht gültig
RVx,Direktzusage,Unterstützungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
PK10,Pensionskasse,keine,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
FR20,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
AROdd,Direktzusage,Rückdeckungskasse,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
HR20,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
